concept_id,concept_name,domain_id,vocabulary_id,concept_class_id,concept_code,table_name,record_count,patient_count,patient_coverage_pct,value_mean,value_median,value_p25,value_p75,value_min,value_max,units,coverage_Amsterdam UMC,coverage_Amsterdams Medisch Centrum,coverage_Catharina Ziekenhuis Eindhoven,coverage_OLVG,coverage_UMC Utrecht,coverage_Vrije Universiteit Medisch Centrum
923081,ofloxacin,Drug,RxNorm,Ingredient,7623,drug_exposure,3928,136,0.14019462312386607,,,,,,,,0.20896581634664668,0.043834015195791935,0.022321428571428572,,0.15702695629416383,0.21629778672032193
1308368,midodrine,Drug,RxNorm,Ingredient,6963,drug_exposure,3887,145,0.14947220847765133,,,,,,,,0.24445057761305838,0.0487044613286577,0.8928571428571429,,0.2093692750588851,0.08048289738430583
1338005,bisoprolol,Drug,RxNorm,Ingredient,19484,drug_exposure,3840,1075,1.1081560283687943,,,,,,,,0.5914126877735284,0.657510227936879,0.44642857142857145,,0.10468463752944256,0.22635814889336017
1517070,desmopressin,Drug,RxNorm,Ingredient,3251,drug_exposure,3808,1341,1.3823602177140029,,,,,,,,1.2656231518353507,1.8556399766218585,0.44642857142857145,,1.9366657942946872,2.3641851106639837
778784,fluticasone / salmeterol,Drug,RxNorm,Multiple Ingredients,284635,drug_exposure,3752,436,0.4494474682500412,,,,,,,,0.48495840397429324,,,,0.13085579691180318,
46221581,insulin isophane,Drug,RxNorm,Ingredient,1605101,drug_exposure,3714,427,0.44016988289625597,,,,,,,,0.07491227378464693,,,,,0.11066398390342053
1197677,clemastine,Drug,RxNorm,Ingredient,2578,drug_exposure,3689,1161,1.196808510638298,,,,,,,,0.33513385640499943,1.8799922072861874,0.5803571428571429,,0.8898194190002617,1.4788732394366197
19054702,fibrinogen,Drug,RxNorm,Ingredient,4385,drug_exposure,3676,2326,2.3977403925449448,,,,,,,,2.5391318061743484,0.9594778881745568,1.1607142857142858,2.2569444444444446,2.8788275320596703,0.2665995975855131
1316262,sildenafil,Drug,RxNorm,Ingredient,136411,drug_exposure,3589,246,0.25358733300346364,,,,,,,,0.15376729882111737,0.5552308591466978,0.044642857142857144,,0.575765506411934,0.2062374245472837
19085688,ketanserin,Drug,RxNorm,Ingredient,6131,drug_exposure,3569,615,0.633968332508659,,,,,,,,0.07885502503647045,0.7208260276641341,,,,1.6498993963782695
19119253,terlipressin,Drug,RxNorm,Ingredient,57048,drug_exposure,3556,597,0.6154131618010885,,,,,,,,1.0921420967551156,1.2370933177479058,,,,0.23138832997987926
722031,paroxetine,Drug,RxNorm,Ingredient,32937,drug_exposure,3535,536,0.5525317499587663,,,,,,,,0.5677561802625872,0.6916033508669394,0.8258928571428571,,0.4187385501177702,0.528169014084507
1322207,argatroban,Drug,RxNorm,Ingredient,15202,drug_exposure,3506,113,0.11648523833085932,,,,,,,,0.35879036391594055,,,,0.05234231876472128,0.08551307847082495
1106776,tiotropium,Drug,RxNorm,Ingredient,69120,drug_exposure,3452,739,0.7617928418274782,,,,,,,,0.6978669715727635,0.5357490746152348,,,0.23554043444124576,0.1659959758551308
800878,clozapine,Drug,RxNorm,Ingredient,2626,drug_exposure,3432,319,0.3288388586508329,,,,,,,,0.18925206008752907,0.46756282875511396,0.08928571428571429,0.2878289473684211,0.05234231876472128,0.30181086519114686
1315865,fondaparinux,Drug,RxNorm,Ingredient,321208,drug_exposure,3398,622,0.6411842322282698,,,,,,,,0.6663249615581753,0.3847652444963959,,,0.05234231876472128,0.6841046277665996
1036228,sucralfate,Drug,RxNorm,Ingredient,10156,drug_exposure,3336,249,0.2566798614547254,,,,,,,,0.16165280132476442,0.10227936879018118,0.17857142857142858,,0.10468463752944256,0.39738430583501005
19059796,gliclazide,Drug,RxNorm,Ingredient,4816,drug_exposure,3332,696,0.7174666006927264,,,,,,,,0.30753459764223473,,0.625,,,0.060362173038229376
759740,pyridostigmine,Drug,RxNorm,Ingredient,9000,drug_exposure,3269,105,0.10823849579416131,,,,,,,,0.1577100500729409,0.12176115332164426,0.15625,,0.23554043444124576,0.09054325955734406
19037833,domperidone,Drug,RxNorm,Ingredient,3626,drug_exposure,3194,281,0.2896668316015174,,,,,,,,0.12616804005835272,0.2824858757062147,0.044642857142857144,,0.13085579691180318,0.12072434607645875
40234201,butylscopolamine,Drug,RxNorm,Ingredient,1085787,drug_exposure,3185,1035,1.0669223156853043,,,,,,,,0.536214170247999,0.8133645041885836,0.17857142857142858,,,2.308853118712274
1304850,filgrastim,Drug,RxNorm,Ingredient,68442,drug_exposure,3184,428,0.44120072571334323,,,,,,,,0.5322714189961756,0.5552308591466978,,,0.26171159382360637,0.3722334004024145
1346823,carvedilol,Drug,RxNorm,Ingredient,20352,drug_exposure,3181,409,0.42161471218868546,,,,,,,,0.2838780901312936,0.2678745373076174,0.08928571428571429,,0.18319811567652447,0.3722334004024145
